,,No Leader, Fixed Plane, Smallest Plane 
 256X256X512 , 32X32X16 ,4.32,1.592,1.192
, 32X16X32 ,3.817,1.036,1.142
, 16X32X32 ,3.802,1.627,1.901
 256X512X256 , 32X32X16 ,3.859,1.101,1.037
, 32X16X32 ,3.823,3.548,1.105
, 16X32X32 ,4.013,0.967,1.868
 512X256X256 , 32X32X16 ,3.967,1.165,1.08
, 32X16X32 ,3.876,3.767,1.46
, 16X32X32 ,3.749,nan,1.794
