,,No Leader, Fixed Plane, Smallest Plane 
 128X256X512 , 64X32X32 ,1.347,0.983,0.727
, 32X64X32 ,1.531,0.618,1.497
 128X512X256 , 32X64X32 ,1.39,0.368,0.813
 256X128X512 , 64X32X32 ,1.431,0.532,1.069
, 32X64X32 ,1.459,nan,0.708
 512X128X256 , 64X32X32 ,1.319,nan,1.23
 512X256X128 , 64X32X32 ,1.459,nan,0.373
, 32X64X32 ,1.241,nan,1.259
