,,No Leader, Fixed Plane, Smallest Plane 
 512X512X256 , 16X16X32 ,4.882,4.823,6.583
, 16X32X16 ,5.334,5.113,8.518
, 32X16X16 ,5.972,4.003,4.063
 512X256X512 , 16X16X32 ,5.702,5.025,9.342
, 16X32X16 ,5.199,5.162,7.694
, 32X16X16 ,4.946,2.849,3.049
 256X512X512 , 16X16X32 ,4.863,4.397,7.897
, 16X32X16 ,5.39,4.738,8.998
, 32X16X16 ,5.038,3.471,4.195
