,,No Leader, Fixed Plane, Smallest Plane 
 256X256X512 , 32X32X16 ,2.622,0.888,1.05
, 32X16X32 ,3.936,0.848,0.85
, 16X32X32 ,2.654,0.812,1.492
 256X512X256 , 32X32X16 ,2.718,0.884,0.818
, 32X16X32 ,2.744,2.616,1.116
, 16X32X32 ,2.61,0.856,1.496
 512X256X256 , 32X32X16 ,2.812,0.898,0.834
, 32X16X32 ,2.596,2.61,0.844
, 16X32X32 ,2.794,nan,1.496
